Sredni czas oczekiwania: 3435.813
pNumber,burstTime,arrivalTime,waitingTime,endTime
0,5,0,0,5,
20,1,0,5,6,
27,1,0,6,7,
32,1,0,7,8,
41,1,0,8,9,
44,1,0,9,10,
52,1,0,10,11,
61,1,0,11,12,
110,1,0,12,13,
115,1,0,13,14,
131,1,0,14,15,
156,1,0,15,16,
176,1,0,16,17,
210,1,0,17,18,
233,1,0,18,19,
262,1,0,19,20,
276,1,0,20,21,
287,1,0,21,22,
310,1,0,22,23,
312,1,0,23,24,
436,1,0,24,25,
461,1,0,25,26,
504,1,0,26,27,
533,1,0,27,28,
536,1,0,28,29,
552,1,0,29,30,
602,1,0,30,31,
604,1,0,31,32,
615,1,0,32,33,
622,1,0,33,34,
629,1,0,34,35,
636,1,0,35,36,
637,1,0,36,37,
645,1,0,37,38,
654,1,0,38,39,
667,1,0,39,40,
682,1,0,40,41,
684,1,0,41,42,
691,1,0,42,43,
712,1,0,43,44,
730,1,0,44,45,
731,1,0,45,46,
735,1,0,46,47,
754,1,0,47,48,
773,1,0,48,49,
774,1,0,49,50,
799,1,0,50,51,
850,1,0,51,52,
851,1,0,52,53,
887,1,0,53,54,
900,1,0,54,55,
939,1,0,55,56,
960,1,0,56,57,
976,1,0,57,58,
987,1,0,58,59,
991,1,0,59,60,
9,2,0,60,62,
15,2,0,62,64,
16,2,0,64,66,
33,2,0,66,68,
63,2,0,68,70,
68,2,0,70,72,
95,2,0,72,74,
120,2,0,74,76,
128,2,0,76,78,
157,2,0,78,80,
170,2,0,80,82,
182,2,0,82,84,
191,2,0,84,86,
232,2,0,86,88,
248,2,0,88,90,
281,2,0,90,92,
301,2,0,92,94,
306,2,0,94,96,
333,2,0,96,98,
370,2,0,98,100,
371,2,0,100,102,
380,2,0,102,104,
420,2,0,104,106,
426,2,0,106,108,
447,2,0,108,110,
451,2,0,110,112,
486,2,0,112,114,
503,2,0,114,116,
547,2,0,116,118,
554,2,0,118,120,
565,2,0,120,122,
582,2,0,122,124,
613,2,0,124,126,
638,2,0,126,128,
669,2,0,128,130,
675,2,0,130,132,
705,2,0,132,134,
707,2,0,134,136,
