Sredni czas oczekiwania: 4960.109
pNumber,burstTime,arrivalTime,waitingTime,endTime
36,17,3,0,20,
724,14,3,17,34,
754,15,4,30,49,
764,12,4,45,61,
138,4,5,56,65,
248,16,5,60,81,
50,18,6,75,99,
663,13,6,93,112,
294,9,8,104,121,
418,19,8,113,140,
2,17,9,131,157,
282,1,9,148,158,
690,14,10,148,172,
974,1,11,161,173,
841,6,12,161,179,
361,19,13,166,198,
114,11,15,183,209,
229,12,15,194,221,
232,18,15,206,239,
605,19,15,224,258,
706,18,15,243,276,
609,12,16,260,288,
680,16,16,272,304,
929,16,17,287,320,
285,7,18,302,327,
807,3,18,309,330,
893,9,18,312,339,
797,4,19,320,343,
855,2,19,324,345,
38,14,20,325,359,
99,17,20,339,376,
111,9,20,356,385,
772,5,20,365,390,
802,1,20,370,391,
115,18,21,370,409,
768,9,21,388,418,
250,14,22,396,432,
629,8,22,410,440,
98,9,23,417,449,
209,7,24,425,456,
393,12,25,431,468,
585,4,27,441,472,
592,3,27,445,475,
937,12,27,448,487,
208,12,28,459,499,
637,14,28,471,513,
835,11,28,485,524,
916,14,28,496,538,
180,13,29,509,551,
416,14,30,521,565,
957,8,30,535,573,
989,15,31,542,588,
864,9,32,556,597,
892,10,32,565,607,
435,15,33,574,622,
755,2,33,589,624,
112,12,34,590,636,
427,9,34,602,645,
108,15,35,610,660,
649,3,35,625,663,
171,4,36,627,667,
777,3,36,631,670,
643,13,37,633,683,
25,13,38,645,696,
371,12,38,658,708,
790,4,38,670,712,
967,14,38,674,726,
97,12,39,687,738,
109,13,39,699,751,
468,4,39,712,755,
189,12,40,715,767,
536,6,40,727,773,
823,17,40,733,790,
143,3,43,747,793,
635,16,43,750,809,
272,15,44,765,824,
612,2,44,780,826,
645,19,44,782,845,
780,14,44,801,859,
396,3,45,814,862,
509,17,45,817,879,
202,13,46,833,892,
177,18,47,845,910,
203,4,47,863,914,
239,8,47,867,922,
307,6,47,875,928,
486,17,47,881,945,
512,18,47,898,963,
129,9,48,915,972,
530,10,48,924,982,
909,17,48,934,999,
332,16,49,950,1015,
996,14,49,966,1029,
243,4,50,979,1033,
620,10,51,982,1043,
617,4,52,991,1047,
596,16,53,994,1063,
787,1,55,1008,1064,
832,10,55,1009,1074,
339,19,56,1018,1093,
472,18,56,1037,1111,
155,17,57,1054,1128,
445,6,57,1071,1134,
245,6,58,1076,1140,
315,2,59,1081,1142,
573,14,59,1083,1156,
481,7,60,1096,1163,
661,18,60,1103,1181,
825,19,60,1121,1200,
19,12,61,1139,1212,
725,11,61,1151,1223,
356,18,62,1161,1241,
457,6,62,1179,1247,
923,19,62,1185,1266,
952,13,62,1204,1279,
550,3,63,1216,1282,
965,2,63,1219,1284,
147,7,64,1220,1291,
618,19,64,1227,1310,
778,18,64,1246,1328,
920,8,64,1264,1336,
141,15,65,1271,1351,
723,17,65,1286,1368,
709,8,66,1302,1376,
932,2,66,1310,1378,
121,13,67,1311,1391,
730,3,67,1324,1394,
176,8,68,1326,1402,
603,13,68,1334,1415,
925,17,68,1347,1432,
975,8,68,1364,1440,
116,14,69,1371,1454,
658,7,69,1385,1461,
662,2,69,1392,1463,
732,9,69,1394,1472,
9,8,70,1402,1480,
256,14,70,1410,1494,
460,10,70,1424,1504,
496,4,70,1434,1508,
532,6,70,1438,1514,
548,19,71,1443,1533,
636,8,71,1462,1541,
924,15,71,1470,1556,
158,11,72,1484,1567,
