Sredni czas oczekiwania: 13072.188
pNumber,burstTime,arrivalTime,waitingTime,endTime
531,21,1,0,22,
17,17,8,14,39,
105,19,23,16,58,
317,21,6,52,79,
479,12,74,5,91,
505,18,68,23,109,
1,19,83,26,128,
471,18,119,9,146,
974,17,146,0,163,
998,18,123,40,181,
535,19,122,59,200,
241,19,127,73,219,
879,19,186,33,238,
574,18,238,0,256,
929,18,251,5,274,
80,16,261,13,290,
605,18,290,0,308,
466,18,295,13,326,
748,18,326,0,344,
767,19,226,118,363,
439,19,253,110,382,
243,19,284,98,401,
412,19,288,113,420,
608,19,325,95,439,
54,19,401,38,458,
119,19,416,42,477,
9,20,64,413,497,
121,18,487,10,515,
404,20,78,437,535,
909,20,126,409,555,
443,20,160,395,575,
72,20,222,353,595,
152,20,232,363,615,
318,20,335,280,635,
395,20,373,262,655,
493,20,421,234,675,
334,21,14,661,696,
990,21,56,640,717,
301,21,63,654,738,
345,21,63,675,759,
716,21,97,662,780,
564,21,101,679,801,
627,21,133,668,822,
713,21,137,685,843,
384,21,142,701,864,
76,21,185,679,885,
193,21,194,691,906,
620,21,199,707,927,
415,21,268,659,948,
507,21,313,635,969,
453,21,383,586,990,
999,21,416,574,1011,
402,21,472,539,1032,
280,22,13,1019,1054,
474,22,17,1037,1076,
536,22,22,1054,1098,
308,22,35,1063,1120,
440,22,50,1070,1142,
161,22,54,1088,1164,
236,22,73,1091,1186,
969,22,78,1108,1208,
662,22,91,1117,1230,
823,22,93,1137,1252,
926,22,100,1152,1274,
367,22,129,1145,1296,
747,22,146,1150,1318,
351,22,147,1171,1340,
633,22,183,1157,1362,
819,22,186,1176,1384,
428,22,245,1139,1406,
540,22,249,1157,1428,
508,22,304,1124,1450,
547,22,327,1123,1472,
567,22,329,1143,1494,
789,22,352,1142,1516,
411,22,355,1161,1538,
678,22,355,1183,1560,
641,22,387,1173,1582,
112,22,458,1124,1604,
85,22,459,1145,1626,
699,22,463,1163,1648,
186,22,469,1179,1670,
917,22,471,1199,1692,
458,22,483,1209,1714,
702,22,494,1220,1736,
812,23,6,1730,1759,
93,23,19,1740,1782,
775,23,35,1747,1805,
769,23,58,1747,1828,
108,23,61,1767,1851,
905,23,69,1782,1874,
298,23,83,1791,1897,
644,23,86,1811,1920,
74,23,88,1832,1943,
321,23,90,1853,1966,
396,23,95,1871,1989,
91,23,97,1892,2012,
470,23,104,1908,2035,
838,23,106,1929,2058,
249,23,109,1949,2081,
286,23,142,1939,2104,
219,23,152,1952,2127,
170,23,184,1943,2150,
552,23,215,1935,2173,
978,23,252,1921,2196,
