pNumber,burstTime,arrivalTime,waitingTime,endTime
6,6,0,0,6,
7,2,2,6,8,
0,2,5,8,10,
9,3,3,10,13,
1,3,6,13,16,
4,3,9,16,19,
8,4,1,19,23,
2,6,4,23,29,
3,6,8,29,35,
5,8,7,35,43,
