Sredni czas oczekiwania: 3324.126
pNumber,burstTime,arrivalTime,waitingTime,endTime
36,17,3,0,20,
282,1,9,11,21,
974,1,11,10,22,
802,1,20,2,23,
855,2,19,4,25,
807,3,18,7,28,
592,3,27,1,31,
138,4,5,26,35,
755,2,33,2,37,
649,3,35,2,40,
777,3,36,4,43,
143,3,43,0,46,
612,2,44,2,48,
396,3,45,3,51,
797,4,19,32,55,
787,1,55,0,56,
585,4,27,29,60,
315,2,59,1,62,
171,4,36,26,66,
965,2,63,3,68,
932,2,66,2,70,
662,2,69,1,72,
550,3,63,9,75,
730,3,67,8,78,
981,3,75,3,81,
988,3,77,4,84,
833,1,83,1,85,
790,4,38,47,89,
94,1,86,3,90,
258,2,88,2,92,
18,3,87,5,95,
242,3,90,5,98,
468,4,39,59,102,
507,1,99,3,103,
203,4,47,56,107,
42,2,106,1,109,
243,4,50,59,113,
617,4,52,61,117,
120,1,117,0,118,
496,4,70,48,122,
928,1,121,1,123,
404,4,111,12,127,
87,4,114,13,131,
234,1,131,0,132,
772,5,20,112,137,
414,1,133,4,138,
263,2,133,5,140,
799,3,133,7,143,
40,2,142,1,145,
862,2,142,3,147,
458,2,147,0,149,
719,2,148,1,151,
119,3,135,16,154,
611,3,146,8,157,
186,3,157,0,160,
424,4,151,9,164,
314,2,164,0,166,
581,3,163,3,169,
919,4,155,14,173,
89,1,170,3,174,
821,3,173,1,177,
940,2,175,2,179,
75,4,159,20,183,
944,5,126,57,188,
979,5,168,20,193,
216,5,171,22,198,
397,2,194,4,200,
516,2,197,3,202,
756,2,200,2,204,
938,5,178,26,209,
140,3,205,4,212,
4,1,211,1,213,
834,1,211,2,214,
986,4,205,9,218,
646,2,218,0,220,
168,1,220,0,221,
340,2,220,1,223,
948,2,220,3,225,
976,3,216,9,228,
390,1,228,0,229,
951,2,229,0,231,
7,1,230,1,232,
946,3,223,9,235,
504,1,235,0,236,
374,3,224,12,239,
546,2,238,1,241,
442,2,239,2,243,
578,3,234,9,246,
343,4,208,38,250,
372,4,213,37,254,
17,2,251,3,256,
151,4,214,42,260,
135,4,224,36,264,
398,4,227,37,268,
933,1,267,1,269,
198,1,269,0,270,
224,2,265,5,272,
993,2,271,1,274,
39,2,272,2,276,
839,3,266,10,279,
391,3,270,9,282,
389,2,282,0,284,
560,2,284,0,286,
438,4,228,58,290,
634,3,287,3,293,
13,3,293,0,296,
364,1,295,1,297,
630,1,297,0,298,
353,4,229,69,302,
741,2,302,0,304,
219,3,299,5,307,
465,3,301,6,310,
257,1,308,2,311,
10,2,311,0,313,
31,3,308,5,316,
551,4,233,83,320,
373,2,318,2,322,
461,3,318,4,325,
851,3,321,4,328,
169,2,328,0,330,
896,2,328,2,332,
647,3,324,8,335,
527,1,334,1,336,
260,2,336,0,338,
73,3,331,7,341,
220,3,334,7,344,
132,4,241,103,348,
863,1,345,3,349,
561,4,243,106,353,
990,2,352,1,355,
3,2,355,0,357,
126,4,264,93,361,
653,1,359,2,362,
417,1,361,1,363,
54,2,361,2,365,
369,1,365,0,366,
385,2,362,4,368,
261,3,368,0,371,
619,4,268,103,375,
459,1,372,3,376,
547,1,374,2,377,
218,1,376,1,378,
534,4,277,101,382,
961,1,382,0,383,
826,4,281,102,387,
295,2,385,2,389,
370,4,293,96,393,
904,4,297,96,397,
392,4,306,91,401,
682,4,345,56,405,
379,1,403,2,406,
984,1,405,1,407,
628,4,349,58,411,
729,1,411,0,412,
463,3,412,0,415,
337,2,414,1,417,
871,3,414,3,420,
545,4,357,63,424,
82,2,423,1,426,
705,4,361,65,430,
325,4,362,68,434,
11,1,434,0,435,
277,3,432,3,438,
971,2,438,0,440,
200,2,439,1,442,
921,2,441,1,444,
382,3,437,7,447,
987,1,445,2,448,
338,3,443,5,451,
412,3,445,6,454,
514,1,452,2,455,
751,4,362,93,459,
193,1,456,3,460,
798,2,459,1,462,
174,4,371,91,466,
660,1,463,3,467,
785,2,464,3,469,
591,1,468,1,470,
726,1,470,0,471,
96,3,466,5,474,
867,2,472,2,476,
403,1,476,0,477,
746,3,475,2,480,
477,3,476,4,483,
26,3,477,6,486,
707,2,484,2,488,
627,2,487,1,490,
701,2,490,0,492,
890,3,482,10,495,
744,3,488,7,498,
487,1,497,1,499,
173,3,497,2,502,
90,4,392,110,506,
913,4,402,104,510,
696,4,413,97,514,
384,4,418,96,518,
84,4,449,69,522,
45,4,470,52,526,
190,4,479,47,530,
413,4,485,45,534,
748,4,492,42,538,
810,5,179,359,543,
804,5,184,359,548,
827,5,185,363,553,
742,5,197,356,558,
388,5,199,359,563,
881,5,206,357,568,
354,5,211,357,573,
891,5,240,333,578,
950,5,240,338,583,
901,5,247,336,588,
323,5,249,339,593,
265,5,252,341,598,
935,5,257,341,603,
303,5,264,339,608,
564,5,305,303,613,
736,5,322,291,618,
884,5,323,295,623,
669,5,326,297,628,
77,5,331,297,633,
244,5,334,299,638,
556,5,344,294,643,
910,5,351,292,648,
148,5,364,284,653,
482,5,365,288,658,
436,5,369,289,663,
85,5,386,277,668,
52,5,408,260,673,
580,5,418,255,678,
191,5,426,252,683,
554,5,439,244,688,
955,5,452,236,693,
12,5,458,235,698,
995,5,474,224,703,
167,5,486,217,708,
241,5,490,218,713,
883,5,490,223,718,
841,6,12,706,724,
536,6,40,684,730,
307,6,47,683,736,
445,6,57,679,742,
245,6,58,684,748,
457,6,62,686,754,
532,6,70,684,760,
433,6,78,682,766,
150,6,91,675,772,
694,6,101,671,778,
166,6,102,676,784,
716,6,104,680,790,
0,6,127,663,796,
81,6,171,625,802,
187,6,172,630,808,
733,6,173,635,814,
214,6,176,638,820,
922,6,179,641,826,
434,6,182,644,832,
721,6,189,643,838,
16,6,224,614,844,
685,6,226,618,850,
146,6,236,614,856,
91,6,241,615,862,
309,6,241,621,868,
352,6,264,604,874,
664,6,264,610,880,
610,6,267,613,886,
816,6,279,607,892,
902,6,280,612,898,
441,6,318,580,904,
271,6,322,582,910,
510,6,326,584,916,
760,6,333,583,922,
918,6,349,573,928,
579,6,368,560,934,
675,6,377,557,940,
446,6,385,555,946,
761,6,386,560,952,
80,6,392,560,958,
420,6,401,557,964,
105,6,402,562,970,
783,6,411,559,976,
46,6,419,557,982,
408,6,421,561,988,
439,6,456,532,994,
714,6,456,538,1000,
498,6,467,533,1006,
83,6,477,529,1012,
78,6,488,524,1018,
444,6,492,526,1024,
452,6,492,532,1030,
766,6,494,536,1036,
285,7,18,1018,1043,
209,7,24,1019,1050,
481,7,60,990,1057,
147,7,64,993,1064,
658,7,69,995,1071,
683,7,80,991,1078,
939,7,97,981,1085,
362,7,98,987,1092,
217,7,102,990,1099,
56,7,105,994,1106,
999,7,106,1000,1113,
684,7,107,1006,1120,
284,7,126,994,1127,
600,7,130,997,1134,
358,7,132,1002,1141,
450,7,132,1009,1148,
429,7,139,1009,1155,
672,7,152,1003,1162,
794,7,152,1010,1169,
63,7,154,1015,1176,
540,7,156,1020,1183,
860,7,158,1025,1190,
409,7,163,1027,1197,
515,7,167,1030,1204,
743,7,172,1032,1211,
728,7,183,1028,1218,
842,7,188,1030,1225,
763,7,229,996,1232,
246,7,235,997,1239,
749,7,253,986,1246,
199,7,291,955,1253,
887,7,295,958,1260,
41,7,302,958,1267,
914,7,311,956,1274,
290,7,324,950,1281,
443,7,325,956,1288,
58,7,329,959,1295,
357,7,332,963,1302,
854,7,335,967,1309,
500,7,337,972,1316,
968,7,340,976,1323,
494,7,385,938,1330,
380,7,396,934,1337,
699,7,406,931,1344,
365,7,410,934,1351,
820,7,416,935,1358,
977,7,419,939,1365,
569,7,421,944,1372,
803,7,437,935,1379,
400,7,444,935,1386,
844,7,444,942,1393,
484,7,461,932,1400,
440,7,470,930,1407,
586,7,492,915,1414,
848,7,495,919,1421,
894,7,497,924,1428,
331,7,498,930,1435,
629,8,22,1413,1443,
957,8,30,1413,1451,
239,8,47,1404,1459,
920,8,64,1395,1467,
709,8,66,1401,1475,
176,8,68,1407,1483,
975,8,68,1415,1491,
9,8,70,1421,1499,
636,8,71,1428,1507,
781,8,72,1435,1515,
205,8,80,1435,1523,
387,8,91,1432,1531,
524,8,103,1428,1539,
288,8,104,1435,1547,
183,8,128,1419,1555,
346,8,129,1426,1563,
982,8,129,1434,1571,
153,8,142,1429,1579,
351,8,148,1431,1587,
125,8,167,1420,1595,
518,8,178,1417,1603,
750,8,189,1414,1611,
853,8,192,1419,1619,
815,8,207,1412,1627,
789,8,210,1417,1635,
513,8,213,1422,1643,
886,8,217,1426,1651,
505,8,222,1429,1659,
966,8,232,1427,1667,
336,8,234,1433,1675,
847,8,247,1428,1683,
386,8,248,1435,1691,
70,8,251,1440,1699,
238,8,270,1429,1707,
411,8,272,1435,1715,
268,8,274,1441,1723,
207,8,276,1447,1731,
812,8,280,1451,1739,
638,8,307,1432,1747,
735,8,308,1439,1755,
985,8,322,1433,1763,
535,8,325,1438,1771,
599,8,329,1442,1779,
877,8,334,1445,1787,
624,8,344,1443,1795,
639,8,369,1426,1803,
376,8,380,1423,1811,
593,8,409,1402,1819,
969,8,433,1386,1827,
255,8,434,1393,1835,
934,8,447,1388,1843,
915,8,453,1390,1851,
576,8,458,1393,1859,
297,8,460,1399,1867,
577,8,466,1401,1875,
344,8,485,1390,1883,
294,9,8,1875,1892,
893,9,18,1874,1901,
111,9,20,1881,1910,
768,9,21,1889,1919,
98,9,23,1896,1928,
864,9,32,1896,1937,
427,9,34,1903,1946,
129,9,48,1898,1955,
732,9,69,1886,1964,
230,9,77,1887,1973,
276,9,80,1893,1982,
67,9,116,1866,1991,
