pNumber,burstTime,arrivalTime,waitingTime,endTime
0,36,0,0,36,
1,33,0,36,69,
2,92,0,69,161,
3,97,0,161,258,
4,1,0,258,259,
5,21,0,259,280,
6,88,0,280,368,
7,65,0,368,433,
8,39,0,433,472,
9,22,0,472,494,
