Sredni czas oczekiwania: 926.41
pNumber,burstTime,arrivalTime,waitingTime,endTime
14,19,1,0,20,
93,22,2,18,42,
98,16,2,40,58,
64,20,3,55,78,
88,18,3,75,96,
45,17,4,92,113,
48,21,4,109,134,
5,9,5,129,143,
9,21,5,138,164,
44,29,5,159,193,
18,9,6,187,202,
41,17,7,195,219,
42,15,7,212,234,
55,22,7,227,256,
65,17,7,249,273,
43,23,8,265,296,
53,15,8,288,311,
57,21,8,303,332,
75,30,8,324,362,
83,24,8,354,386,
60,17,9,377,403,
25,20,10,393,423,
35,13,10,413,436,
12,12,11,425,448,
38,10,11,437,458,
91,28,11,447,486,
3,25,12,474,511,
6,23,12,499,534,
10,17,12,522,551,
17,23,12,539,574,
78,15,12,562,589,
24,24,13,576,613,
80,19,13,600,632,
90,21,13,619,653,
86,18,14,639,671,
13,17,15,656,688,
34,22,15,673,710,
54,20,15,695,730,
85,20,15,715,750,
29,25,16,734,775,
40,19,16,759,794,
72,15,17,777,809,
69,13,18,791,822,
81,24,18,804,846,
26,23,19,827,869,
30,28,19,850,897,
37,13,19,878,910,
95,19,19,891,929,
4,19,20,909,948,
92,24,20,928,972,
76,11,21,951,983,
1,15,22,961,998,
23,13,22,976,1011,
33,17,22,989,1028,
50,20,22,1006,1048,
62,24,22,1026,1072,
96,14,22,1050,1086,
16,12,23,1063,1098,
28,15,23,1075,1113,
20,16,24,1089,1129,
32,15,24,1105,1144,
27,18,25,1119,1162,
36,20,25,1137,1182,
7,23,26,1156,1205,
77,23,26,1179,1228,
79,11,26,1202,1239,
2,22,27,1212,1261,
49,31,27,1234,1292,
87,21,27,1265,1313,
0,22,29,1284,1335,
11,16,29,1306,1351,
22,24,29,1322,1375,
99,22,29,1346,1397,
63,22,30,1367,1419,
52,15,32,1387,1434,
47,27,33,1401,1461,
84,20,33,1428,1481,
89,15,34,1447,1496,
19,26,35,1461,1522,
73,22,36,1486,1544,
74,15,36,1508,1559,
58,23,40,1519,1582,
21,26,41,1541,1608,
31,31,41,1567,1639,
61,20,41,1598,1659,
66,13,42,1617,1672,
71,7,42,1630,1679,
94,22,42,1637,1701,
68,15,44,1657,1716,
8,11,45,1671,1727,
46,24,45,1682,1751,
70,29,45,1706,1780,
82,21,45,1735,1801,
39,17,46,1755,1818,
56,30,46,1772,1848,
97,14,47,1801,1862,
51,18,48,1814,1880,
59,26,48,1832,1906,
67,26,48,1858,1932,
15,19,49,1883,1951,
